data_hora,record,pressao_atm_max,pressao_atm_min,chuva_mm,temp_ar_max,temp_ar_min,umid_relat_max,umid_relat_min,rad_solar_total,temp_max,temp_min,temp_ar_media,umid_relat_media,vento_veloc,rad_solar_media,et0
'2016-05-13 12:00:00',20429,619.3712,599.8077,0,32568,30.99,59462,52995,1600854,22.88371,21.1415,31.71513,56.40049,0.9094337,10.06826,0.02289815
'2016-05-13 13:00:00',20430,619.4078,599765,0,33855,31579,57.87,49134,3509112,23.19884,20.83609,32.5752,53.11275,1.072569,9.747534,0.06400271
'2016-05-13 14:00:00',20431,619.0446,599.7894,0,35064,31.63,56033,43796,3440542,23.81463,20.67251,33.41721,50.00652,0.9671527,9.557062,0.06278411
'2016-05-13 15:00:00',20432,619.2674,599.8565,0,35761,32308,54189,42244,3401442,22.6932,20.53857,33.70581,48.01492,0.9927774,9.448451,0.06659186
'2016-06-08 17:00:00',20433,620.1862,599.8412,0,34655,33567,43855,40146,4358.74,20.21745,18.33804,34.01864,41.43143,0.7493456,22.82063,0.03672005
'2016-06-0818:00:00',20434,600.9493,599.7344,254,34076,30029,51033,39783,8037143,19.24419,17.85089,31.98606,44.68996,0.2890278,22.3254,0.03700818
'2016-06-08 19:00:00',20435,620.2137,599.7955,0,30.1,28359,74695,49326,7538703,23.47639,18.28951,29.0452,65.83935,1.09,20.94084,0.04106806
'2016-06-08 20:00:00',20436,620.1649,599.7985,0,28359,26636,81836,74664,7417774,23.53181,23.29085,27.41221,78.93411,0.9915276,20.60493,0.02581623
'2016-06-08 21:00:00',20437,620.1404,599.7344,0,26678,25605,85802,81832,7120244,23.33927,22.98722,26.09093,83.53938,0.29375,19.77846,0.012884
'2016-06-08 22:00:00',20438,620.0825,599.7924,0,25605,24744,88.73,85.83,6858983,23.15388,22.75392,25.15934,87.70731,0.2222917,19.05273,0.01053951
'2016-06-08 23:00:00',20439,620.0427,599.7344,0,24915,24494,90.05,87703,6730993,22.91594,22.59879,24.71003,88.60912,0.8912497,18.6972,0.01510435
'2016-06-09 00:00:00',20440,620.1313,599826,0,24632,23952,94808,90.05,6640625,23.0973,22.81132,24.21928,92.59833,0.1322223,18.44618,0.008635128
'2016-06-09 01:00:00',20441,620.0183,599.6978,0,24102,23812,96512,94836,6711474,23.34376,23.08998,23.96769,95626,0.05777778,18.64298,0.008113847
'2016-06-09 02:00:00',20442,619.9603,599.9451,0,24173,23822,97207,96455,6702373,23.62055,23.27823,23.97589,96.82686,0.6469446,18.6177,0.008592114
'2016-06-09 03:00:00',20443,620.0061,599.7955,0,24334,24093,96609,96294,6499271,23.75125,23.49139,24.17338,96.43383,0.169375,18.05353,0.008015752
'2016-06-09 04:00:00',20444,619.8962,599.8565,0,24334,23852,97832,96285,6496678,23.73316,23.43385,24.08807,96.85606,0,18.04633,0.007741601
'2016-06-09 05:00:00',20445,619.8871,599.71,0,24034,23452,99207,97836,6499498,23.73,23.29183,23.79544,98.38107,0,18.05416,0.007712029
'2016-06-09 06:00:00',20446,600.1313,599.7863,0,23612,23241,99998,99046,6640499,23.53223,23241,23.40205,99.66683,0,18.44583,0.007830158
'2016-06-09 07:00:00',20447,600.1282,599.7833,0,23912,23,99998,99982,6785231,23912,23,23.27545,99.99782,0,18.84786,0.01436475
'2016-06-09 08:00:00',20448,619.3101,599.7589,0,26186,23852,99998,90.81,6981603,25.21481,23852,24.81423,97.69042,0,19.39334,0.01505783
'2016-06-09 09:00:00',20449,619301,599.7955,0,28.2,25796,91332,78242,7865.79,24.62164,23.75319,26.82611,84.80189,1.323056,21.84941,0.03601854
'2016-06-09 10:00:00',20450,619.4445,599.7222,0,29.42,26988,82648,70.76,9113723,24.56929,23.13368,28.40337,75.90224,1.564514,25.3159,0.05678739
'2016-06-09 11:00:00',20451,619.5788,599.7985,0,31.72,28369,73938,58474,9973503,24.27483,22.24419,29.85607,67.56421,1425,27.70417,0.06928023
'2016-06-09 12:00:00',20452,619.6765,599.7344,0,33497,30.59,63176,51691,10915.13,23.65595,21.7422,32.18175,57.2169,1.509931,30.3198,0.09346137
'2016-06-09 13:00:00',20453,619.9573,599.8596,0,34525,31.41,59.31,47603,9958.15,23.14354,21.18495,32.85925,53.30967,1.319236,27.66153,0.08988404
'2016-06-09 14:00:00',20454,601.0073,599.7375,0,34882,31.97,54898,42205,9173102,22.86094,19.63751,33.21672,49.02651,0.9256251,25.48084,0.07402064
'2016-06-09 15:00:00',20455,620.1649,599.9176,0,35683,32998,45508,37939,8865149,21.00793,18.44128,34.36192,41.73674,1.472014,24.62542,0.1160627
'2016-06-09 16:00:00',20456,620.3511,599.8107,0,35304,32428,54417,36435,8021678,22.1048,17.39294,34.27484,40.05937,1.248819,22.28244,0.1028697
'2016-06-09 17:00:00',20457,620.3358,599.7009,0,32408,30138,59957,53803,7619704,22.37402,20.68697,31.24617,56.60932,2.551458,21.16584,0.1280894
'2016-06-09 18:00:00',20458,620.2503,599765,0,30298,27458,69.21,58768,6898415,21.6798,21.23393,28.66344,64.98119,1.940764,19.16226,0.08174316
'2016-06-09 19:00:00',20459,602.6649,599.6978,0,27458,26318,75828,69144,6622639,21.74686,21.24862,26.87984,72.30812,0.8763889,18.39622,0.02832242
'2016-06-09 20:00:00',20460,620.2137,599.8412,0,26378,25836,80861,75855,6450671,22.3419,21.75269,26.08959,78.65996,0.7833334,17.91853,0.02147673
'2016-06-09 21:00:00',20461,620.1679,599.8168,0,25846,25196,83804,80766,6347547,22.37936,22.24498,25.51512,82.41326,0.4675001,17.63208,0.01463454
'2016-06-09 22:00:00',20462,620.1679,599.9023,0,25216,24604,87836,83736,6350131,22.51583,22.25129,24.9009,85.59966,0.6714583,17.63925,0.01509671
'2016-06-09 23:00:00',20463,620.1649,599.8168,0,24644,24375,91.16,87859,6354594,23.03311,22.47423,24.50671,89.80406,0.9259723,17.65165,0.01398506
'2016-06-10 00:00:00',20464,620.1038,599.7161,0,24514,24132,93894,91039,6410259,23.16228,22.83066,24.2581,92.65324,0.1217361,17.80628,0.00832268
'2016-06-10 01:00:00',20465,620.1069,599.7497,0,24173,23792,96113,93836,6593667,23.20999,23.05943,23.99,94.89118,0.03715278,18.31574,0.007965611
'2016-06-10 02:00:00',20466,620.0641,599.7161,0,24064,23772,96859,96014,6686723,23.51544,23.13956,23.92661,96.59836,0.02131945,18.57423,0.007973532
'2016-06-10 03:00:00',20467,600931,599.7894,0,24112,23832,97.15,96312,6613835,23.52028,23.29681,23.96462,96.62994,0.001736111,18.37176,0.007867247
'2016-06-10 04:00:00',20468,600.0854,599.7344,0,23903,23.09,98722,96986,6803258,23.42185,22.84538,23.51008,97.81758,0,18.89794,0.00803205
'2016-06-10 05:00:00',20469,600.0702,599.7497,0,23171,22.78,99676,98426,7076649,23.00421,22.66953,22.95926,99.21566,0,19.65736,0.008279222
'2016-06-10 06:00:00',20470,600.0793,599.7466,0,22.95,22409,99998,99554,7176085,22.93361,22409,22.66722,99.89695,0,19.93357,0.00835685
'2016-06-10 07:00:00',20471,600.0885,599.7497,0,23232,22128,99998,99998,6900097,23232,22128,22.50744,99.99786,0,19.16693,0.01445387
'2016-06-10 08:00:00',20472,619.2613,599.9176,0,24794,23232,99998,95453,6741926,24.16853,23232,23.84124,98.8918,0.07965278,18.72757,0.01439795
'2016-06-10 09:00:00',20473,619.3407,599.7985,0,27107,24632,95.48,80148,7180.2,24.08411,22.85178,25.86207,86.82007,0.9375694,19945,0.027143
'2016-06-10 10:00:00',20474,619301,599.7375,0,29728,26738,80602,65848,8881.7,23.6089,22.27746,28.00054,73.82336,1.333958,24.67139,0.0538121
'2016-06-10 11:00:00',20475,619.8566,599.7772,0,31.7,28098,71.41,56.25,10013.48,23.61461,21.66163,30.09645,64.02242,1.845903,27.81523,0.08897132
'2016-06-10 12:00:00',20476,620.0427,599.7558,0,32718,29.63,60403,50956,9579499,22.33556,20.72699,31.05147,56.5059,1.55368,26.60972,0.09203212
'2016-06-10 13:00:00',20477,620.1557,599.7283,0,34066,31.17,54.14,42845,9151926,22.78854,19.01502,32.66645,48.78408,1.210764,25.42202,0.08884268
'2016-06-10 14:00:00',20478,620.2259,599829,0,34626,32418,48641,40.43,8504.79,21.41287,18.81787,33.72478,44.2771,1.524931,23.62442,0.1130527
'2016-06-10 15:00:00',20479,600.9646,599.8412,0,34914,32.08,48441,38933,6830276,20.49151,17.97681,33.7779,42.90128,1.200417,18.97299,0.09263286
'2016-06-10 16:00:00',20480,620.3083,599.9451,0,35353,32238,45974,37.47,6276739,19.79648,17.81835,33.67489,40.99081,1.015834,17.43539,0.08233846
'2016-06-10 17:00:00',20481,619.9023,599.7222,0,35003,32188,43064,37158,5894.41,19.12655,17.08949,33.41885,40.35791,0.9915276,16.37336,0.08039483
'2016-06-10 18:00:00',20482,620.3206,599.7375,0,33698,30189,48.6,38441,5820.09,18.65027,17.2485,32.16032,42.72688,0.6640279,16.16692,0.05630256
'2016-06-10 19:00:00',20483,600.0702,599.7344,0,30189,26699,65128,48466,6822029,19.73668,18.1181,28.38945,55.87262,0,18.95008,0.008703509
'2016-06-10 20:00:00',20484,620.29,599.7955,0,28159,26218,78113,62971,6796847,22.97983,18.7777,27.40458,71.21277,0.8166668,18.88013,0.02846767
'2016-06-10 21:00:00',20485,620.2686,599.7009,0,27098,25796,81656,78168,6811452,22.99584,22.38814,26.35591,80.2057,1.691944,18.9207,0.0311891
'2016-06-10 22:00:00',20486,620.2473,599765,0,25807,24825,88.14,81.59,6773685,22.82365,22.41242,25.26359,85.23135,0.5959723,18.81579,0.01510571
'2016-06-10 23:00:00',20487,620.2289,599.8626,0,24835,24453,91.55,88191,6599978,23.07873,22.72946,24.58957,90.21935,0.1711805,18.33327,0.009243728
'2016-06-11 00:00:00',20488,620.1771,599.7802,0,24523,24034,93482,91574,6576655,23.15843,22.91122,24.32263,92.44472,0.1546528,18.26849,0.008715432
'2016-06-11 01:00:00',20489,620.1801,599.7344,0,24112,23662,95378,93.48,6705572,23.10931,22.86805,23.89123,94.43021,0.08944444,18.62659,0.008280355
'2016-06-11 02:00:00',20490,620.1496,599.7955,0,23772,23331,96918,95.33,6780297,23.12132,22.74632,23.59018,95.94772,0.06680555,18.83416,0.008148425
'2016-06-11 03:00:00',20491,620.1038,599.7344,0,23692,23.35,97125,96355,6682533,23.14775,22.82388,23.57154,96.66452,0.1805555,18.56259,0.008121078
'2016-06-11 04:00:00',20492,620.0977,599.7253,0,23371,22.87,99023,96718,6766223,22932,22.65269,23.12774,97.88065,0.02173611,18.79506,0.007950451
'2016-06-11 05:00:00',20493,600.9493,599.8412,0,23.09,22.55,99998,98556,7105471,23.08849,22.50723,22.81778,99.37166,0,19.73742,0.008295828
'2016-06-11 06:00:00',20494,619.8077,599.8321,0,23251,22.73,99964,99406,7259.72,23.19606,22.68718,22.97362,99.80058,0.001180556,20.16589,0.008482608
'2016-06-11 07:00:00',20495,600.8516,599.7344,0,24163,23222,99566,96886,6723.15,23.66033,23.07448,23.39845,98.76023,0,18.67542,0.01426802
'2016-06-11 08:00:00',20496,600.9677,599.7344,0,26448,24202,96964,77039,7956755,23963,21.92899,25.29839,88.03138,0.8440276,22.1021,0.02635892
'2016-06-11 09:00:00',20497,620.1679,599.7192,0,28.43,26198,77742,67332,9555843,22.2796,21.19239,27.37368,71.45362,2.334373,26.54401,0.08192932
'2016-06-11 10:00:00',20498,620.1954,599.7466,0,30.08,28.22,67506,56844,10009.4,21.72209,20.13877,29.38278,60.28522,2.322847,27.80389,0.1114733
'2016-06-11 11:00:00',20499,620.1649,599.7161,0,32338,29201,59.91,51064,9798.46,21.89948,19.97371,30.6105,56.00644,1.967639,27.21795,0.1096182
'2016-06-11 12:00:00',20500,620.1801,599.7558,0,32828,30.83,56162,49863,7221421,21.97153,20.10692,31.72048,52.75761,1.452709,20.0595,0.08963622
'2016-06-11 13:00:00',20501,620.1526,599.8107,0,35125,30958,54117,40688,8491457,22.02702,19.28425,32.77097,48.32693,0.9857637,23.58738,0.07608855
'2016-06-11 14:00:00',20502,620.2747,599.8199,0,34904,31.54,49121,40337,7572696,21.66413,18.58441,32.71181,45.41386,0.6714583,21.03527,0.05898055
'2016-06-11 15:00:00',20503,620.3267,599.8321,0,36193,33996,43287,36384,7189825,20.54367,18.13962,34.97241,39.46222,1.105278,19.97174,0.09352893
'2016-06-11 16:00:00',20504,620.0336,599.7283,0,35771,33597,42705,35792,6486349,19.86726,17.51887,34.63136,39.02879,0.7921526,18.01764,0.0712468
'2016-06-11 17:00:00',20505,601.0348,599826,0,35292,32678,41992,37314,6295664,19.30303,17.31077,33.92514,39.64915,0.71875,17.48796,0.06473752
'2016-06-11 18:00:00',20506,600.8455,599765,0,33337,30.63,46698,39526,7067111,18.32019,17.63302,31.83595,43916,0.3300695,19.63086,0.03758494
