data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel, vento_rajada,radiacao,precipitacao
01/06/16,11,27.8,27.9,25.9,75,88,74,22.8,23.8,22.6,1010.1,1010.1,1009.7,0.0,123,0.0,846.0,0.0
01/06/16,14,31.2,31.3,30.1,60,62,56,22.4,22.7,21.3,1009.4,1010.1,1009.4,0.0,102,0.0,2397.,0.0
01/06/16,15,31.2,31.6,30.2,54,61,53,20.8,22.5,20.7,1008.5,1009.4,1008.5,0.0,106,0.0,2353.,0.0
01/06/16,16,31.2,31.6,30.9,57,58,53,21.7,22.1,20.6,1007.7,1008.5,1007.6,0.0,106,0.0,2302.,0.0
01/06/16,17,30.6,31.6,30.5,57,58,53,21.2,22.0,20.2,1006.9,1007.7,1006.9,0.0,93,0.0,2033.,0.0
01/06/16,18,30.6,30.8,30.1,58,60,57,21.5,22.0,20.8,1006.5,1006.9,1006.5,0.0,89,0.0,1719.,0.0
01/06/16,19,29.8,30.6,29.6,62,63,58,21.8,22.0,21.2,1006.5,1006.6,1006.4,0.0,76,0.0,1302.,0.0
01/06/16,12,29.6,29.6,27.8,65,75,65,22.2,23.2,21.7,1010.2,1010.3,1010.1,0.0,126,0.0,1346.,0.0
01/06/16,13,30.4,30.9,29.1,61,66,59,22.1,23.3,21.6,1010.1,1010.4,1010.1,0.0,110,0.0,2154.,0.0
02/06/16,11,28.5,28.5,27.3,72,77,72,23.0,23.3,22.6,1010.4,1010.4,1009.8,0.0,128,0.0,779.7,0.0
02/06/16,12,30.4,30.4,28.1,63,72,63,22.6,23.4,21.8,1010.8,1010.8,1010.4,0.0,108,0.0,1229.,0.0
02/06/16,13,31.0,31.3,28.8,60,66,56,22.2,22.9,21.2,1010.7,1011.0,1010.7,0.0,116,0.0,1628.,0.0
02/06/16,14,30.6,31.4,29.5,61,65,56,22.2,22.9,21.4,1010.2,1010.7,1010.2,0.0,111,0.0,2257.,0.0
02/06/16,16,30.7,31.7,30.2,58,59,53,21.6,21.7,20.5,1008.6,1009.6,1008.6,0.0,97,0.0,2229.,0.0
02/06/16,17,30.7,31.2,30.2,61,62,54,22.3,22.7,20.6,1007.8,1008.6,1007.8,0.0,74,0.0,2025.,0.0
02/06/16,18,30.5,31.4,30.0,62,63,59,22.4,23.1,21.8,1007.3,1007.8,1007.3,0.0,93,0.0,1720.,0.0
02/06/16,19,29.8,30.5,29.4,64,68,61,22.3,23.1,21.9,1007.7,1007.7,1007.3,0.0,87,0.0,1303.,0.0
03/06/16,12,29.6,29.9,28.7,68,73,66,23.1,23.7,22.5,1011.1,1011.1,1010.9,0.0,106,0.0,1021.,0.0
03/06/16,13,30.7,30.7,29.4,64,68,62,23.2,23.5,22.1,1011.3,1011.3,1011.1,0.0,102,0.0,1564.,0.0
03/06/16,14,30.9,31.4,30.1,63,65,60,23.1,23.6,22.0,1010.7,1011.3,1010.7,0.0,99,0.0,2021.,0.0
03/06/16,15,31.3,31.4,29.6,61,67,61,23.0,23.7,22.1,1009.8,1010.7,1009.8,0.0,86,0.0,1820.,0.0
03/06/16,16,30.7,31.3,30.4,63,65,59,22.9,23.5,22.1,1008.9,1009.9,1008.9,0.0,95,0.0,2123.,0.0
03/06/16,17,30.6,31.4,30.1,62,65,61,22.5,23.6,22.3,1007.9,1008.9,1007.9,0.0,98,0.0,1945.,0.0
03/06/16,18,29.9,31.0,29.8,67,68,62,23.0,23.8,22.6,1007.7,1007.9,1007.7,0.0,91,0.0,1578.,0.0
04/06/16,13,29.3,29.9,28.1,64,71,64,21.8,23.2,21.6,1010.8,1010.9,1010.7,0.0,140,0.0,1389.,0.0
04/06/16,11,27.3,27.5,25.7,74,84,73,22.2,23.0,22.0,1010.6,1010.6,1009.8,0.0,150,0.0,973.0,0.0
04/06/16,15,31.3,31.9,29.8,57,62,54,21.7,22.7,20.8,1009.8,1010.4,1009.8,0.0,113,0.0,2060.,0.0
04/06/16,12,28.5,28.8,27.3,69,75,69,22.4,23.0,21.9,1010.7,1010.8,1010.6,0.0,150,0.0,1215.,0.0
04/06/16,16,31.1,31.6,30.8,59,60,55,22.2,22.3,21.0,1008.8,1009.8,1008.8,0.0,104,0.0,2376.,0.0
04/06/16,17,30.3,31.5,30.3,61,61,57,21.9,22.5,21.6,1007.8,1008.8,1007.8,0.0,109,0.0,2020.,0.0
04/06/16,14,31.3,31.5,28.9,55,67,55,21.3,22.7,21.1,1010.4,1010.8,1010.4,0.0,113,0.0,2091.,0.0
04/06/16,18,30.2,31.1,30.1,62,63,58,22.1,22.7,21.7,1007.4,1007.8,1007.4,0.0,108,0.0,1719.,0.0
04/06/16,19,29.6,30.3,29.6,65,66,61,22.3,22.8,21.8,1007.2,1007.5,1007.2,0.0,102,0.0,1311.,0.0
04/06/16,20,28.7,29.8,28.7,67,67,63,22.0,22.6,21.7,1007.7,1007.8,1007.2,0.0,98,0.0,649.0,0.0
05/06/16,19,29.6,31.1,29.6,63,63,57,21.8,22.4,21.5,1008.5,1008.6,1008.4,0.0,97,0.0,1313.,0.0
05/06/16,11,28.4,28.4,26.9,73,81,71,23.0,23.5,22.4,1010.8,1010.8,1010.5,0.0,102,////,486.9,0.0
05/06/16,13,30.2,30.6,29.0,60,65,60,21.6,22.5,21.2,1011.4,1011.4,1011.2,0.0,117,0.0,1604.,0.0
05/06/16,14,31.1,31.4,29.7,57,61,55,21.5,22.1,20.9,1010.9,1011.5,1010.9,0.0,111,0.0,2147.,0.0
05/06/16,15,31.8,31.8,30.3,53,58,52,21.0,21.6,20.3,1010.4,1011.0,1010.4,0.0,110,0.0,2433.,0.0
05/06/16,16,31.0,32.0,30.7,54,55,51,20.7,21.4,19.8,1009.9,1010.4,1009.9,0.0,116,0.0,2342.,0.0
05/06/16,17,31.2,31.5,30.4,57,59,52,21.7,22.0,20.3,1008.9,1009.9,1008.9,0.0,103,0.0,2105.,0.0
05/06/16,18,30.5,31.2,30.2,59,60,56,21.7,22.1,21.1,1008.6,1008.9,1008.4,0.0,112,0.0,1753.,0.0
06/06/16,11,27.7,28.6,27.2,76,78,72,23.2,23.9,22.6,1010.9,1010.9,1010.7,0.0,76,////,520.2,0.2
06/06/16,12,29.5,29.9,27.7,65,77,64,22.2,23.7,22.1,1011.3,1011.4,1010.9,0.0,94,0.0,1375.,0.0
06/06/16,13,30.1,30.8,29.2,64,67,60,22.6,23.1,21.8,1011.3,1011.4,1011.1,0.0,90,0.0,1722.,0.0
06/06/16,14,30.2,30.5,28.3,65,72,62,22.9,23.1,21.7,1011.0,1011.3,1011.0,0.0,94,0.0,1109.,0.0
06/06/16,15,30.5,31.0,29.5,61,65,59,22.2,23.0,21.3,1010.6,1011.0,1010.5,0.0,101,0.0,1611.,0.0
06/06/16,16,30.5,31.5,29.8,63,65,56,22.7,22.8,21.2,1009.7,1010.6,1009.7,0.0,102,0.0,1874.,0.0
06/06/16,17,30.3,31.3,29.8,61,66,59,22.1,23.2,21.7,1008.9,1009.7,1008.9,0.0,88,0.0,1786.,0.0
06/06/16,18,30.4,31.4,29.8,61,63,56,22.0,22.5,21.3,1008.6,1008.9,1008.6,0.0,96,0.0,1835.,0.0
07/06/16,11,26.4,26.4,24.0,76,87,76,21.8,22.5,21.4,1012.1,1012.1,1011.6,0.0,180,0.0,958.1,0.0
07/06/16,12,28.3,28.3,26.2,71,78,70,22.5,22.7,21.4,1012.3,1012.4,1012.1,0.0,180,0.0,1294.,0.0
07/06/16,13,28.9,29.2,28.2,71,72,67,23.1,23.1,21.7,1012.3,1012.4,1012.2,0.0,136,0.0,1774.,0.0
07/06/16,14,29.9,30.6,28.9,64,71,61,22.4,23.3,21.4,1012.0,1012.3,1012.0,0.0,136,0.0,1991.,0.0
07/06/16,15,30.8,31.4,29.0,55,65,54,20.8,23.4,20.4,1011.4,1012.0,1011.4,0.0,117,0.0,2180.,0.0
07/06/16,16,31.2,31.5,30.5,54,58,53,20.7,21.9,20.4,1010.5,1011.4,1010.5,0.0,99,0.0,2259.,0.0
