_id,codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel,vento_rajada,radiacao,precipitacao
ObjectId(59244ee5d9f9d4db5b25c506),,01/06/16,17,30.6,31.6,30.5,57,58,53,21.2,22,20.2,1006.9,1007.7,1006.9,0,93,0,2033,0
ObjectId(59244ee5d9f9d4db5b25c509),,01/06/16,19,29.8,30.6,29.6,62,63,58,21.8,22,21.2,1006.5,1006.6,1006.4,0,76,0,1302,0
ObjectId(59244ee5d9f9d4db5b25c50b),,01/06/16,16,31.2,31.6,30.9,57,58,53,21.7,22.1,20.6,1007.7,1008.5,1007.6,0,106,0,2302,0
ObjectId(59244ee5d9f9d4db5b25c50c),,01/06/16,12,29.6,29.6,27.8,65,75,65,22.2,23.2,21.7,1010.2,1010.3,1010.1,0,126,0,1346,0
ObjectId(59244ee5d9f9d4db5b25c50d),,01/06/16,13,30.4,30.9,29.1,61,66,59,22.1,23.3,21.6,1010.1,1010.4,1010.1,0,110,0,2154,0
ObjectId(59244ee5d9f9d4db5b25c50e),,02/06/16,12,30.4,30.4,28.1,63,72,63,22.6,23.4,21.8,1010.8,1010.8,1010.4,0,108,0,1229,0
ObjectId(59244ee5d9f9d4db5b25c50f),,02/06/16,11,28.5,28.5,27.3,72,77,72,23,23.3,22.6,1010.4,1010.4,1009.8,0,128,0,779.7,0
ObjectId(59244ee5d9f9d4db5b25c505),,01/06/16,14,31.2,31.3,30.1,60,62,56,22.4,22.7,21.3,1009.4,1010.1,1009.4,0,102,0,2397,0
ObjectId(59244ee5d9f9d4db5b25c511),,02/06/16,14,30.6,31.4,29.5,61,65,56,22.2,22.9,21.4,1010.2,1010.7,1010.2,0,111,0,2257,0
ObjectId(59244ee5d9f9d4db5b25c512),,02/06/16,18,30.5,31.4,30,62,63,59,22.4,23.1,21.8,1007.3,1007.8,1007.3,0,93,0,1720,0
ObjectId(59244ee5d9f9d4db5b25c513),,02/06/16,13,31,31.3,28.8,60,66,56,22.2,22.9,21.2,1010.7,1011,1010.7,0,116,0,1628,0
ObjectId(59244ee5d9f9d4db5b25c514),,02/06/16,16,30.7,31.7,30.2,58,59,53,21.6,21.7,20.5,1008.6,1009.6,1008.6,0,97,0,2229,0
ObjectId(59244ee5d9f9d4db5b25c515),,02/06/16,19,29.8,30.5,29.4,64,68,61,22.3,23.1,21.9,1007.7,1007.7,1007.3,0,87,0,1303,0
ObjectId(59244ee5d9f9d4db5b25c518),,03/06/16,16,30.7,31.3,30.4,63,65,59,22.9,23.5,22.1,1008.9,1009.9,1008.9,0,95,0,2123,0
ObjectId(59244ee5d9f9d4db5b25c51d),,04/06/16,13,29.3,29.9,28.1,64,71,64,21.8,23.2,21.6,1010.8,1010.9,1010.7,0,140,0,1389,0
ObjectId(59244ee5d9f9d4db5b25c51e),,04/06/16,15,31.3,31.9,29.8,57,62,54,21.7,22.7,20.8,1009.8,1010.4,1009.8,0,113,0,2060,0
ObjectId(59244ee5d9f9d4db5b25c51f),,04/06/16,11,27.3,27.5,25.7,74,84,73,22.2,23,22,1010.6,1010.6,1009.8,0,150,0,973,0
ObjectId(59244ee5d9f9d4db5b25c508),,01/06/16,18,30.6,30.8,30.1,58,60,57,21.5,22,20.8,1006.5,1006.9,1006.5,0,89,0,1719,0
