_id,codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel,vento_rajada,radiacao,precipitacao
ObjectId(58f3b7c40d77803ba6787489),A325,01/05/2016,0,27.6,28.4,27.6,59,59,56,18.9,19.2,18.8,986.5,986.5,985.7,2.1,52,9.2,-3.54,0
ObjectId(58f3b7c40d77803ba678748a),A325,01/05/2016,10,27.4,27.4,25.1,68,73,68,21.1,21.1,19.9,988.8,988.8,987.8,0,63,0.6,476,0
ObjectId(58f3b7c40d77803ba678748b),A325,01/05/2016,9,25,25.7,24.9,73,73,71,19.8,20.3,19.7,987.8,987.8,987,0,77,0,16.86,0
ObjectId(58f3b7c40d77803ba678748c),A325,01/05/2016,12,29.9,30.2,28.5,51,54,49,18.6,18.9,17.5,989.3,989.4,989.3,0.6,126,6.4,2313,0
ObjectId(58f3b7c40d77803ba678748d),A325,01/05/2016,14,31.8,32.2,30.3,46,49,45,18.8,19.3,18,987.8,988.5,987.8,0.3,122,6.5,3377,0
ObjectId(58f3b7c40d77803ba678748e),A325,01/05/2016,8,25.7,26.2,25.7,72,73,69,20.3,20.5,20.2,987,987,986.3,0,96,2.1,-3.54,0
ObjectId(58f3b7c40d77803ba678748f),A325,01/05/2016,11,29,29.1,27.3,54,68,53,18.7,21.2,18.1,989.3,989.3,988.8,1,96,6.9,1452,0
ObjectId(58f3b7c40d77803ba6787490),A325,01/05/2016,15,32.7,32.9,31.8,44,47,43,19,19.7,18.1,986.6,987.9,986.6,1.2,142,8.1,3539,0
ObjectId(58f3b7c40d77803ba6787491),A325,01/05/2016,13,30.7,30.8,29.7,48,51,48,18.5,19.1,18,988.5,989.3,988.5,1,136,7.5,2976,0
ObjectId(58f3b7c40d77803ba6787492),A325,01/05/2016,18,33.5,34.2,33.3,39,40,38,17.8,18.3,17.3,984.4,984.8,984.4,0.2,154,7.1,2420,0
ObjectId(58f3b7c40d77803ba6787493),A325,01/05/2016,17,33.7,33.9,32.8,40,42,39,18.1,18.7,17.5,984.8,985.5,984.8,0.6,138,8.1,3041,0
ObjectId(58f3b7c40d77803ba6787494),A325,01/05/2016,20,32.6,33.8,32.5,41,41,35,17.8,17.9,15.9,985.1,985.1,984.2,0.9,117,9,557.8,0
ObjectId(58f3b7c40d77803ba6787495),A325,01/05/2016,16,33.3,33.7,32.2,41,45,40,18.4,19.1,17.7,985.5,986.7,985.5,0.9,159,8.1,3424,0
ObjectId(58f3b7c40d77803ba6787496),A325,01/05/2016,19,33.6,34.3,33.4,35,39,34,16.1,18,15.9,984.2,984.4,984.2,0.7,137,7.3,1597,0
ObjectId(58f3b7c40d77803ba6787497),A325,01/05/2016,21,28.1,32.6,28,57,58,41,18.9,19.1,17.6,985.4,985.4,985.1,0,31,9.9,71.93,0
ObjectId(58f3b7c40d77803ba6787498),A325,01/05/2016,22,29.1,29.1,28.1,56,57,56,19.4,19.6,18.9,986.4,986.4,985.4,1.9,44,7.5,-3.54,0
ObjectId(58f3b7c40d77803ba6787499),A325,01/05/2016,23,28,29.1,28,57,57,56,18.8,19.4,18.8,987.3,987.3,986.4,3.4,48,11,-3.53,0
