record,pressao_atm_max,pressao_atm_min,chuva_mm,temp_ar_max,temp_ar_min,umid_relat_max,umid_relat_min,rad_solar_total,temp_max,temp_min,temp_ar_media,umid_relat_media,vento_veloc,rad_solar_media,et0
20507,620.314,599.734,0,30.68,29.17,61.96,45.91,2922.18,21.4047,17.6812,29.9766,52.9476,0.762917,8.11717,0.0382169
20908,620.372,599.869,0,31.42,28.82,53.4,46.81,4.78805e+06,19.7572,17.7223,29.8895,50.4969,2.17493,13.3001,0.118502
22308,619.908,599.792,0,29.5,28.66,52.33,40.62,2.05272e+06,18.1958,14.58,29.0339,42.5317,0.388056,5.702,0.0255298
22443,619.911,599.814,0,32.178,29.65,53.158,44.564,4863.38,19.7556,18.1372,31.1409,47.9771,1.98695,13.5094,0.117957
22444,600.968,599.762,0,34.197,31.95,46.087,38.328,5119.29,19.577,17.7766,33.2398,41.3886,1.89806,14.2203,0.131755
22445,619.963,599.835,0,34.745,32.558,42.824,36.791,4875.27,19.1477,17.1223,33.7123,39.1225,2.31965,13.5424,0.162048
22446,619.908,599.933,0,36.111,33.896,39.284,32.35,4611.5,18.5286,16.2696,35.0458,34.9152,2.2134,12.8097,0.168872
22447,620.122,599.737,0,36.36,34.626,35.402,29.98,4017.22,17.8291,15.4915,35.599,32.2897,1.9841,11.1589,0.159732
22448,620.11,599.902,0,36.609,34.696,32.277,27.567,3285.69,16.972,14.4276,35.6214,29.6613,2.23361,9.12691,0.181956
22449,600.943,599.921,0,36.162,34.416,31.308,27.464,2603.6,15.5549,14.3445,35.2246,29.5212,2.06639,7.23222,0.167851
22450,620.043,599.872,0,34.972,33.476,32.521,30.146,2073.51,15.0578,14.5118,34.0656,31.4185,1.8859,5.75976,0.147028
22451,620.107,599.759,0,33.616,29.978,54.615,31.704,2037.86,19.8613,14.4312,32.1042,40.8403,2.48153,5.66073,0.117168
22452,620.006,599.875,0,29.99,27.99,62.967,54.614,2110.81,20.3857,19.8372,28.9353,59.0455,2.22639,5.86336,0.0698975
22453,620.092,599.725,0,27.999,26.678,69.554,62.96,2193.97,20.6946,20.2843,27.1922,66.8391,1.40194,6.09436,0.0399213
22454,620.388,599.734,0,26.699,26.077,73.371,69.546,2267.58,20.9964,20.6438,26.3432,71.7161,1.23903,6.29885,0.0309423
22455,619.896,599.771,0,26.116,25.716,74.308,72.791,2363.29,20.9709,20.6852,25.9032,73.5137,1.87035,6.56468,0.0378958
22456,619.921,599.795,0,25.827,25.384,78.32,74.22,2462.94,21.4114,20.8562,25.5727,76.8439,2.17979,6.84151,0.0363754
22457,620.375,599.737,0,25.466,25.005,80.168,78.148,2474.78,21.47,21.354,25.2827,79.0858,1.78604,6.87438,0.0290775
22458,619.991,599.765,0,25.156,25.005,80.164,77.968,2414.46,21.3922,20.9514,25.0928,79.0593,0.949931,6.70682,0.0191728
22459,620.339,599.71,0,25.094,24.954,78.039,74.789,2398.81,20.9716,20.3008,25.0216,76.5795,0.978819,6.66335,0.0215364
22460,619.911,599.795,0,25.126,24.472,74.816,71.527,2315.17,20.32,19.2031,24.8461,72.9642,0.971667,6.43104,0.0241753
22461,600.873,599.78,0,24.514,23.893,74.445,72.352,2240.16,19.2321,19.0636,24.1796,73.3719,1.06222,6.22267,0.0248768
22462,619.884,599.902,0,24.445,23.872,74.699,73.193,2304.29,19.3772,19.089,24.2043,73.8103,1.98208,6.40082,0.0368964
22463,619.823,599.899,0,24.786,24.022,74.758,72.052,2548.26,19.5059,19.2383,24.2597,73.9231,1.8916,7.07851,0.0500964
22464,620.314,599.863,0,26.538,24.654,72.658,64.621,3234.84,19.6273,19.1115,25.6757,68.1683,1.84792,8.98566,0.0619952
22465,619.899,599.841,0,28.609,26.476,64.5,55.108,3824.19,19.4519,18.5138,27.6447,59.5833,2.32403,10.6228,0.097622
22466,620.385,599.887,0,30.42,28.048,57.263,49.037,4372.71,19.2277,18.2125,29.2678,52.8848,2.51764,12.1464,0.125121
22467,619.976,599.713,0,31.708,29.65,51.662,43.878,4766.02,19.0479,17.6517,30.9134,47.0352,2.21632,13.2389,0.13043
22468,600.946,599.722,0,33.347,31.1,45.769,38.068,4931.4,18.9352,16.9225,32.297,41.9021,2.44812,13.6983,0.158495
22469,620.015,599.857,0,34.275,32.558,41.716,36,4829.21,18.3024,16.875,33.4118,38.5656,2.14528,13.4145,0.152223
22470,619.945,599.921,0,35.214,33.546,37.934,32.04,4548.01,17.62,15.6603,34.365,34.7189,2.68049,12.6334,0.196857
22471,620.073,599.759,0,35.694,34.146,35.957,30.488,3854.65,17.2201,15.4968,34.8543,32.8797,2.53979,10.7074,0.193236
22472,620.104,599.795,0,35.503,34.175,32.945,29.738,3242.99,16.2779,14.5047,34.9658,31.1284,2.0159,9.0083,0.16134
22473,620.131,599.921,0,35.375,33.974,32.1,29.008,2578.18,15.913,13.8436,34.6426,30.3468,2.02771,7.16162,0.16169
22474,619.997,599.734,0,34.175,32.148,34.923,30.724,2053.13,14.947,14.2071,33.23,32.6423,1.97778,5.70313,0.148631
22475,620.031,599.75,0,32.136,30.58,38.25,34.923,1999.83,15.0091,14.7099,31.5116,36.4831,1.18083,5.55507,0.0723117
22476,600.131,599.75,0,30.58,29.27,51.159,38.213,2031.33,18.1659,14.7216,29.8256,40.9656,0.369236,5.64258,0.0254418
22477,619.911,599.71,0,29.26,27.298,60.935,51.126,2046.58,19.158,18.1381,28.1089,57.3981,1.67007,5.68494,0.0585292
22478,620.006,599.734,0,27.29,25.917,67.064,60.966,2073,19.3637,19.1009,26.5426,64.0802,0.582847,5.75832,0.0220326
22479,620.034,599.814,0,25.927,25.156,71.684,67.094,2096.23,19.7322,19.2956,25.5693,69.097,0.635833,5.82287,0.0201868
22480,620.418,599.86,0,25.204,24.564,76.207,71.504,2177,20.1554,19.6571,24.8782,73.8717,0.473611,6.04723,0.0139823
22481,620.052,599.783,0,24.594,23.903,78.988,76.14,2207.65,20.1713,19.9821,24.2157,77.623,0,6.13235,0.00290674
22482,620.406,599.75,0,23.972,23.371,81.703,78.898,2224.61,20.1988,19.977,23.7038,80.3043,0.325903,6.17947,0.00863121
22483,620.446,599.753,0,23.382,22.89,83.086,81.105,2201.63,20.1059,19.5412,23.0624,81.9917,0,6.11563,0.00285063
22484,620.327,599.829,0,23.161,22.55,82.38,76.148,2214.73,19.6057,18.2954,22.8307,78.8526,0,6.15201,0.00287031
22485,620.433,599.814,0,22.73,22.048,76.273,75.031,2169.37,18.3042,17.686,22.4934,75.4151,0,6.02603,0.00282202
22486,620.372,599.921,0,23.232,21.676,78.132,67.25,2156.25,17.7891,16.8223,22.277,74.2253,0.454583,5.98959,0.0126915
22487,619.924,599.933,0,24.375,23.191,67.25,60.979,2523.79,16.8346,16.2495,23.663,63.7916,0.906042,7.01052,0.0368101
22488,619.887,599.765,0,26.878,24.353,61.054,51.914,3230.73,16.5764,15.9891,25.4658,57.0513,1.39208,8.97424,0.0643382
22489,619.908,599.844,0,28.58,26.356,53.519,47.062,3802.52,16.4748,15.8801,27.3676,50.4937,2.11646,10.5625,0.108553
22490,619.884,599.841,0,29.57,27.63,49.792,44.503,4407.62,16.7126,15.77,28.76,46.4933,2.57541,12.2434,0.142174
22491,619.927,599.933,0,31.1,29,47.433,41.326,4824.61,17.5379,15.9413,30.0854,44.1452,2.36194,13.4017,0.142315
22492,619.957,599.795,0,32.678,30.77,43.871,36.424,4961.51,17.6744,15.5301,31.7003,39.5729,2.39222,13.782,0.159701
22493,600.971,599.826,0,33.835,31.72,40.875,32.107,4891.46,17.3738,14.266,32.6632,36.0933,2.43014,13.5874,0.173296
22494,620.009,599.945,0,34.306,32.668,37.111,27.834,4640.96,16.4784,12.9121,33.4377,33.2626,2.33583,12.8916,0.176425
22495,620.083,599.933,0,34.964,33.328,36.628,30.206,4140.25,16.9104,14.2484,34.1388,32.5731,1.96639,11.5007,0.15464
22496,620.14,599.795,0,35.054,33.448,33.685,28.318,3442.55,16.4538,13.883,34.2337,31.1113,1.97257,9.56264,0.156984
22497,620.043,599.933,0,34.156,33.148,32.978,30.269,2710.32,15.1591,13.8057,33.7032,31.6055,1.94528,7.52868,0.151199
22498,620.092,599.887,0,33.538,31.749,34.413,30.388,2139.63,14.9452,13.778,32.713,32.8688,1.65646,5.94342,0.125783
22499,619.2,599.829,0,31.768,30.029,37.49,34.275,2044.01,14.3237,13.8707,31.05,35.6627,0.810834,5.6778,0.0538136
22500,620.055,599.78,0,30.02,28.779,52.089,37.285,2055.9,18.0035,13.7409,29.3195,43.1712,0.919444,5.71083,0.0510121
22501,620.101,599.719,0,28.779,26.957,62.857,51.958,2115.4,19.3293,17.9524,27.8341,57.2724,1.48764,5.8761,0.0538069
22502,620.043,599.786,0,26.976,25.697,70.298,62.796,2216.93,19.9193,19.2994,26.3538,66.3944,1.31028,6.15813,0.0377617
22503,620.372,599.722,0,25.716,25.005,77.484,70.271,2276.21,20.8507,19.8972,25.3442,74.1064,1.41979,6.32281,0.0304805
22504,619.93,599.777,0,25.024,24.382,82.285,77.43,2330.39,21.2461,20.7904,24.6967,79.9537,1.00944,6.47331,0.0189617
22505,620.363,599.698,0,24.382,23.842,85.546,82.252,2289.46,21.3211,21.1644,24.1145,83.9272,0.187986,6.35962,0.0057612
22506,619.945,599.814,0,23.852,23.511,87.23,85.51,2251.03,21.393,21.2571,23.7134,86.4426,0.45507,6.25285,0.00815082
22508,600.119,599.765,0,22.96,22.49,89.562,81.412,2103.54,21.0356,19.5119,22.7092,87.075,0.0626389,5.84318,0.00345363
22509,619.878,599.811,0,22.89,22.428,81.388,78.676,2150.02,19.5213,18.5987,22.6644,79.3,0,5.97227,0.00279098
22510,600.07,599.734,0,22.448,21.807,80.546,78.878,2086.21,18.6189,18.2901,22.0025,80.0299,0,5.79504,0.00269743
22511,600.098,599.817,0,23.392,21.997,79.588,72.527,2278.58,18.3432,18.112,22.611,76.2904,0,6.32938,0.00530054
22512,600.943,599.698,0,26.398,23.392,72.496,61.562,3225.87,18.6944,18.111,24.9756,66.5926,1.33604,8.96075,0.0494009
22513,620.339,599.765,0,27.928,26.378,61.719,55.683,3505.54,18.7059,17.9648,27.0346,58.7962,1.78007,9.73763,0.0786163
